product_code_or_sku,orders,revenue,qty_sold,Date
NLE5NC_1443,0,0.0,0,2021-07-05
NLE5SP_6DBK_AD,0,0.0,0,2021-07-05
NLE5SP_6DVL_ADWD,0,0.0,0,2021-07-05
NLE5SP_6DVL_ADC,0,0.0,0,2021-07-05
NLE5SP_6DT_F6,0,0.0,0,2021-07-05
NLE5SP_6DT_FC,0,0.0,0,2021-07-05
NLE5SP_6DT_XRS,0,0.0,0,2021-07-05
NLE5SP_6DVL_68TA,0,0.0,0,2021-07-05
NLE5SP_8DBK_48SS,0,0.0,0,2021-07-05
NLE5SP_5DT_SA,1,0.0,1,2021-07-05
NLE5SP_6DBK_E45,0,0.0,0,2021-07-05
NLE5SP_6DBK_E90,0,0.0,0,2021-07-05
NLE5SP_6DP_VC,1,0.0,1,2021-07-05
NLE5SP_6DP_XRB,0,0.0,0,2021-07-05
NLE5SP_6DT_60CF,0,0.0,0,2021-07-05
NLE5SP_6DT_CS11,0,0.0,0,2021-07-05
NLE5SP_6DP_36SSCF,0,0.0,0,2021-07-05
NLE5SP_6DT_VC,3,79.06,3,2021-07-05
NLE5SP_6DBK_TL,1,80.13,1,2021-07-05
NLE5SP_6DBK_DS,2,67.5,2,2021-07-05
NLE5SP_6DBK_48,1,38.7,1,2021-07-05
NLE5SP_6DVL_AD,1,41.24,1,2021-07-05
NLE5SP_6DVL_ADT,2,55.16,2,2021-07-05
NLE5SP_6DBK_48SS,1,56.51,1,2021-07-05
NLE5SP_6DVL_E45,1,121.52,2,2021-07-05
NLE5SP_6DVL_46TA,1,315.46,2,2021-07-05
NLE5SP_6DT_48SS,2,454.66,2,2021-07-05
NLE5CF_LGL,1,139.99,1,2021-07-05
NLE5SP_8DT_VC,1,141.63,1,2021-07-05
ROUTEINS,74,145.69,74,2021-07-05
NLE5SP_6DT_36SS,1,224.08,1,2021-07-05
NLE5SP_6DVL_48,1,235.98,2,2021-07-05
NLE5SP_6DP_SC,2,12.94,2,2021-07-05
NLE5SP_5DT_SC,3,13.05,3,2021-07-05
NLE5SP_6DBK_24,1,22.96,1,2021-07-05
NLE5CO_55300_20,1,2.9,1,2021-07-05
NLE5SB_36048M,0,0.0,0,2021-07-05
NLE5SB_36072M,0,0.0,0,2021-07-05
NLE5SA_8115,0,0.0,0,2021-07-05
NLE5SA_8116,0,0.0,0,2021-07-05
NLE5RU_97S,0,0.0,0,2021-07-05
NLE5SE_6UT_48,0,0.0,0,2021-07-05
NLE5UM_6150,0,0.0,0,2021-07-05
NLE5CF_LGL,0,0.0,0,2021-07-06
NLE5AS_335CL_C24,0,0.0,0,2021-07-06
NLE5SP_6DT_XRS,0,0.0,0,2021-07-06
NLE5SP_6DT_60CF,0,0.0,0,2021-07-06
NLE5SP_6DP_XRB,0,0.0,0,2021-07-06
NLE5SP_6DT_FC,0,0.0,0,2021-07-06
NLE5SP_6DT_CS11,0,0.0,0,2021-07-06
NLE5SP_8DBK_48SS,0,0.0,0,2021-07-06
NLE5SP_6DBK_AD,0,0.0,0,2021-07-06
NLE5SP_6DBK_48,0,0.0,0,2021-07-06
NLE5SP_6DBK_24,0,0.0,0,2021-07-06
NLE5SP_6DP_SC,0,0.0,0,2021-07-06
NLE5SP_6DBK_E90,0,0.0,0,2021-07-06
NLE5SP_6DBK_E45,2,82.68,4,2021-07-06
NLE5SP_6DBK_TL,1,80.13,1,2021-07-06
NLE5SP_6DT_F6,1,72.17,1,2021-07-06
NLE5SP_6DVL_ADT,2,110.32,2,2021-07-06
NLE5SP_6DVL_ADC,4,106.72,4,2021-07-06
NLE5SP_6DVL_AD,1,41.24,1,2021-07-06
NLE5SP_5DT_SC,3,39.15,3,2021-07-06
NLE5SP_6DBK_DS,1,33.75,1,2021-07-06
NLE5UM_6150,1,29.88,12,2021-07-06
NLE5NC_1443,1,28.58,2,2021-07-06
NLE5SP_6DVL_ADWD,1,63.62,1,2021-07-06
NLE5SB_36048M,1,52.71,3,2021-07-06
NLE5SP_5DT_SA,2,47.52,3,2021-07-06
NLE5SP_6DVL_46TA,1,315.46,2,2021-07-06
ROUTEINS,88,265.55,88,2021-07-06
NLE5SP_6DT_48SS,2,681.99,3,2021-07-06
NLE5SP_6DVL_68TA,2,418.56,2,2021-07-06
NLE5SP_6DVL_48,1,117.99,1,2021-07-06
NLE5SP_6DP_VC,2,156.5,2,2021-07-06
NLE5SP_8DT_VC,2,141.63,2,2021-07-06
NLE5SP_6DVL_E45,1,121.52,2,2021-07-06
NLE5SP_6DBK_48SS,1,169.53,3,2021-07-06
NLE5SP_6DT_VC,3,237.18,3,2021-07-06
NLE5SP_6DT_36SS,1,224.08,1,2021-07-06
NLE5SP_6DP_36SSCF,1,185.59,1,2021-07-06
NLE5CO_55300_20,2,5.8,2,2021-07-06
NLE5SP_6DT_LB,1,22.66,2,2021-07-06
NLE5SB_36072M,1,20.58,1,2021-07-06
NLE5RU_97S,0,0.0,0,2021-07-06
NLE5SA_8116,0,0.0,0,2021-07-06
NLE5SA_8115,0,0.0,0,2021-07-06
NLE5SE_6UT_48,0,0.0,0,2021-07-06
NLE5CO_55300_20,0,0.0,0,2021-07-07
NLE5UM_6150,0,0.0,0,2021-07-07
NLE5SP_6DP_XRB,0,0.0,0,2021-07-07
NLE5SP_6DP_VC,0,0.0,0,2021-07-07
NLE5SP_6DP_SC,0,0.0,0,2021-07-07
NLE5SP_6DT_CS11,1,0.0,1,2021-07-07
NLE5SP_6DT_60CF,0,0.0,0,2021-07-07
NLE5SP_6DT_36SS,0,0.0,0,2021-07-07
NLE5SP_6DT_48SS,0,0.0,0,2021-07-07
NLE5SP_6DP_36SSCF,0,0.0,0,2021-07-07
NLE5SP_6DVL_E45,0,0.0,0,2021-07-07
NLE5SP_6DVL_ADWD,0,0.0,0,2021-07-07
NLE5SP_6DVL_ADT,0,0.0,0,2021-07-07
NLE5SP_6DVL_ADC,1,0.0,1,2021-07-07
NLE5SP_6DT_LB,0,0.0,0,2021-07-07
NLE5SP_6DT_FC,0,0.0,0,2021-07-07
NLE5SP_6DT_F6,1,0.0,1,2021-07-07
NLE5SP_6DVL_AD,0,0.0,0,2021-07-07
NLE5SP_6DVL_48,0,0.0,0,2021-07-07
NLE5SP_6DVL_46TA,0,0.0,0,2021-07-07
NLE5SP_6DT_XRS,0,0.0,0,2021-07-07
NLE5SP_6DT_VC,1,0.0,1,2021-07-07
NLE5SP_6DBK_48,0,0.0,0,2021-07-07
NLE5SP_6DBK_24,0,0.0,0,2021-07-07
NLE5SP_6DBK_48SS,0,0.0,0,2021-07-07
NLE5SP_5DT_SC,1,0.0,1,2021-07-07
NLE5SP_6DBK_AD,0,0.0,0,2021-07-07
NLE5SP_6DBK_TL,0,0.0,0,2021-07-07
NLE5SP_6DBK_E90,0,0.0,0,2021-07-07
NLE5SP_6DBK_E45,0,0.0,0,2021-07-07
NLE5SP_6DBK_DS,0,0.0,0,2021-07-07
NLE5SP_5DT_SA,3,31.68,3,2021-07-07
NLE5AS_335CL_C24,2,19.9,2,2021-07-07
NLE5CF_LGL,2,279.98,2,2021-07-07
NLE5SE_6UT_48,1,209.77,1,2021-07-07
NLE5SP_6DVL_68TA,1,209.28,1,2021-07-07
ROUTEINS,89,207.52,89,2021-07-07
NLE5SA_8116,2,99.05,7,2021-07-07
NLE5SB_36048M,1,105.42,6,2021-07-07
NLE5SP_8DT_VC,3,141.63,3,2021-07-07
NLE5SP_8DBK_48SS,0,0.0,0,2021-07-07
NLE5RU_97S,0,0.0,0,2021-07-07
NLE5NC_1443,0,0.0,0,2021-07-07
NLE5SC_SUPERCEDAR,0,0.0,0,2021-07-07
NLE5SB_36072M,0,0.0,0,2021-07-07
NLE5SA_8115,0,0.0,0,2021-07-07
NLE5SC_SUPERCEDAR,0,0.0,0,2021-07-08
NLE5SA_8115,0,0.0,0,2021-07-08
NLE5SA_8116,0,0.0,0,2021-07-08
NLE5SB_36072M,0,0.0,0,2021-07-08
NLE5SE_6UT_48,0,0.0,0,2021-07-08
NLE5NC_1443,0,0.0,0,2021-07-08
NLE5IM_BM0110,0,0.0,0,2021-07-08
NLE5RU_97S,0,0.0,0,2021-07-08
NLE5SP_6DP_SC,2,12.94,2,2021-07-08
NLE5CO_55300_20,3,14.5,5,2021-07-08
NLE5SP_6DVL_46TA,1,157.73,1,2021-07-08
NLE5SP_6DT_FC,3,126.3,3,2021-07-08
NLE5SP_6DT_CS11,1,136.82,1,2021-07-08
NLE5SP_6DT_48SS,2,681.99,3,2021-07-08
NLE5SP_6DVL_68TA,1,209.28,1,2021-07-08
NLE5SP_6DP_XRB,2,215.44,2,2021-07-08
ROUTEINS,79,231.82,79,2021-07-08
NLE5SP_6DVL_48,2,235.98,2,2021-07-08
NLE5SP_6DT_VC,4,237.18,4,2021-07-08
NLE5SP_8DT_VC,3,283.26,3,2021-07-08
NLE5AS_335CL_C24,2,19.9,2,2021-07-08
